soc,industry,sector,segment,category,categoryId,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training,,,,,,,,,,,,,,,,,,,,,,,
49-9093.00,Engineering,"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations","Installation, maintenance, and repair",42,"Fabric menders, except garment","Repair tears, holes, and other defects in fabrics, such as draperies, linens, parachutes, and tents.",0.7,0.6,-0.1,-7.6,17.5,0.1,26920,High school diploma or equivalent,None,Long-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'49-9093.00',","'Engineering',","'Installation, maintenance, and repair occupations',","'Other installation, maintenance, and repair occupations',","'Installation, maintenance, and repair',","'42',","'Fabric menders, except garment',","'Repair tears, holes, and other defects in fabrics, such as draperies, linens, parachutes, and tents.',","'0.7',","'0.6',","'-0.1',","'-7.6',","'17.5',","'0.1',","'26920',","'High school diploma or equivalent',","'None',",'Long-term on-the-job training');
49-9094.00,Engineering,"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations","Installation, maintenance, and repair",42,Locksmiths and safe repairers,Repair and open locks; make keys; change locks and safe combinations; and install and repair safes.,28.7,27.8,-0.9,-3.2,33,2.5,40420,High school diploma or equivalent,None,Long-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'49-9094.00',","'Engineering',","'Installation, maintenance, and repair occupations',","'Other installation, maintenance, and repair occupations',","'Installation, maintenance, and repair',","'42',","'Locksmiths and safe repairers',","'Repair and open locks; make keys; change locks and safe combinations; and install and repair safes.',","'28.7',","'27.8',","'-0.9',","'-3.2',","'33',","'2.5',","'40420',","'High school diploma or equivalent',","'None',",'Long-term on-the-job training');
49-9095.00,Engineering,"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations","Installation, maintenance, and repair",42,Manufactured building and mobile home installers,Move or install mobile homes or prefabricated buildings.,4.3,4,-0.4,-8.8,26.1,0.3,29810,High school diploma or equivalent,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'49-9095.00',","'Engineering',","'Installation, maintenance, and repair occupations',","'Other installation, maintenance, and repair occupations',","'Installation, maintenance, and repair',","'42',","'Manufactured building and mobile home installers',","'Move or install mobile homes or prefabricated buildings.',","'4.3',","'4',","'-0.4',","'-8.8',","'26.1',","'0.3',","'29810',","'High school diploma or equivalent',","'None',",'Short-term on-the-job training');
49-9096.00,Engineering,"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations","Installation, maintenance, and repair",42,Riggers,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.",20.9,22.9,2.1,9.8,0,2.3,45690,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'49-9096.00',","'Engineering',","'Installation, maintenance, and repair occupations',","'Other installation, maintenance, and repair occupations',","'Installation, maintenance, and repair',","'42',","'Riggers',","'Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.',","'20.9',","'22.9',","'2.1',","'9.8',","'0',","'2.3',","'45690',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
49-9097.00,Engineering,"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations","Installation, maintenance, and repair",42,Signal and track switch repairers,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.",10,10.1,0.1,1.1,14.6,1,65350,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'49-9097.00',","'Engineering',","'Installation, maintenance, and repair occupations',","'Other installation, maintenance, and repair occupations',","'Installation, maintenance, and repair',","'42',","'Signal and track switch repairers',","'Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.',","'10',","'10.1',","'0.1',","'1.1',","'14.6',","'1',","'65350',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
49-9098.00,Engineering,"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations","Installation, maintenance, and repair",42,"Helpers--installation, maintenance, and repair workers","Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.",120.2,133.5,13.3,11.1,0.3,17,27510,High school diploma or equivalent,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'49-9098.00',","'Engineering',","'Installation, maintenance, and repair occupations',","'Other installation, maintenance, and repair occupations',","'Installation, maintenance, and repair',","'42',","'Helpers--installation, maintenance, and repair workers',","'Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.',","'120.2',","'133.5',","'13.3',","'11.1',","'0.3',","'17',","'27510',","'High school diploma or equivalent',","'None',",'Short-term on-the-job training');
49-9099.00,Engineering,"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations","Installation, maintenance, and repair",42,"Installation, maintenance, and repair workers, all other","All installation, maintenance, and repair workers not listed separately.",175.8,189.9,14.1,8,15.6,18.6,38480,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'49-9099.00',","'Engineering',","'Installation, maintenance, and repair occupations',","'Other installation, maintenance, and repair occupations',","'Installation, maintenance, and repair',","'42',","'Installation, maintenance, and repair workers, all other',","'All installation, maintenance, and repair workers not listed separately.',","'175.8',","'189.9',","'14.1',","'8',","'15.6',","'18.6',","'38480',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-1011.00,Engineering,Production occupations,Supervisors of production workers,Production,43,First-line supervisors of production and operating workers,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators.",621.4,620.9,-0.5,-0.1,1.5,59.5,57780,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-1011.00',","'Engineering',","'Production occupations',","'Supervisors of production workers',","'Production',","'43',","'First-line supervisors of production and operating workers',","'Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators.',","'621.4',","'620.9',","'-0.5',","'-0.1',","'1.5',","'59.5',","'57780',","'High school diploma or equivalent',","'Less than 5 years',",'None');
51-2011.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,"Aircraft structure, surfaces, rigging, and systems assemblers","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.",41.8,34.5,-7.3,-17.4,0,3.2,50050,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2011.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Aircraft structure, surfaces, rigging, and systems assemblers',","'Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.',","'41.8',","'34.5',","'-7.3',","'-17.4',","'0',","'3.2',","'50050',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2021.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,"Coil winders, tapers, and finishers","Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.",14.1,11.2,-2.9,-20.6,0.4,1.2,33940,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2021.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Coil winders, tapers, and finishers',","'Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.',","'14.1',","'11.2',","'-2.9',","'-20.6',","'0.4',","'1.2',","'33940',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2022.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,Electrical and electronic equipment assemblers,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.",218.9,173.6,-45.3,-20.7,0.4,18.2,31310,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2022.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Electrical and electronic equipment assemblers',","'Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.',","'218.9',","'173.6',","'-45.3',","'-20.7',","'0.4',","'18.2',","'31310',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2023.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,Electromechanical equipment assemblers,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.",45.7,36,-9.7,-21.3,0.4,3.8,33350,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2023.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Electromechanical equipment assemblers',","'Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.',","'45.7',","'36',","'-9.7',","'-21.3',","'0.4',","'3.8',","'33350',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2031.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,Engine and other machine assemblers,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.",38,31.5,-6.5,-17.2,0,2.8,41210,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2031.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Engine and other machine assemblers',","'Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.',","'38',","'31.5',","'-6.5',","'-17.2',","'0',","'2.8',","'41210',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2041.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,Structural metal fabricators and fitters,"Fabricate, position, align, and fit parts of structural metal products.",77,65.2,-11.8,-15.3,0.2,6.5,37730,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2041.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Structural metal fabricators and fitters',","'Fabricate, position, align, and fit parts of structural metal products.',","'77',","'65.2',","'-11.8',","'-15.3',","'0.2',","'6.5',","'37730',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2091.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,Fiberglass laminators and fabricators,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products.",19.7,19.4,-0.3,-1.3,1.4,2.2,30870,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2091.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Fiberglass laminators and fabricators',","'Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products.',","'19.7',","'19.4',","'-0.3',","'-1.3',","'1.4',","'2.2',","'30870',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2092.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,Team assemblers,Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.,1130.9,987.9,-143,-12.6,1.4,107.7,30060,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2092.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Team assemblers',","'Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.',","'1130.9',","'987.9',","'-143',","'-12.6',","'1.4',","'107.7',","'30060',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2093.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,Timing device assemblers and adjusters,"Perform precision assembling, adjusting, or calibrating, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components.",0.8,0.6,-0.2,-19.9,0,0.1,37040,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2093.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Timing device assemblers and adjusters',","'Perform precision assembling, adjusting, or calibrating, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components.',","'0.8',","'0.6',","'-0.2',","'-19.9',","'0',","'0.1',","'37040',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-2099.00,Engineering,Production occupations,Assemblers and fabricators,Production,43,"Assemblers and fabricators, all other",All assemblers and fabricators not listed separately.,232.4,200.3,-32.2,-13.8,1.4,21.7,28550,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-2099.00',","'Engineering',","'Production occupations',","'Assemblers and fabricators',","'Production',","'43',","'Assemblers and fabricators, all other',","'All assemblers and fabricators not listed separately.',","'232.4',","'200.3',","'-32.2',","'-13.8',","'1.4',","'21.7',","'28550',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-3011.00,Engineering,Production occupations,Food processing workers,Production,43,Bakers,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.",191,203.1,12.1,6.3,4.9,28.7,25090,No formal educational credential,None,Long-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3011.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Bakers',","'Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.',","'191',","'203.1',","'12.1',","'6.3',","'4.9',","'28.7',","'25090',","'No formal educational credential',","'None',",'Long-term on-the-job training');
51-3021.00,Engineering,Production occupations,Food processing workers,Production,43,Butchers and meat cutters,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.",135.7,143.4,7.7,5.7,0.7,17.7,29870,No formal educational credential,None,Long-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3021.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Butchers and meat cutters',","'Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.',","'135.7',","'143.4',","'7.7',","'5.7',","'0.7',","'17.7',","'29870',","'No formal educational credential',","'None',",'Long-term on-the-job training');
51-3022.00,Engineering,Production occupations,Food processing workers,Production,43,"Meat, poultry, and fish cutters and trimmers","Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.",156.4,157.7,1.2,0.8,0.7,19.1,24490,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3022.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Meat, poultry, and fish cutters and trimmers',","'Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.',","'156.4',","'157.7',","'1.2',","'0.8',","'0.7',","'19.1',","'24490',","'No formal educational credential',","'None',",'Short-term on-the-job training');
51-3023.00,Engineering,Production occupations,Food processing workers,Production,43,Slaughterers and meat packers,"Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats.",82.5,82.9,0.4,0.5,0.7,10.1,26590,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3023.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Slaughterers and meat packers',","'Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats.',","'82.5',","'82.9',","'0.4',","'0.5',","'0.7',","'10.1',","'26590',","'No formal educational credential',","'None',",'Short-term on-the-job training');
51-3091.00,Engineering,Production occupations,Food processing workers,Production,43,"Food and tobacco roasting, baking, and drying machine operators and tenders","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.",20.1,20,-0.1,-0.6,1.2,2.3,28570,No formal educational credential,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3091.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Food and tobacco roasting, baking, and drying machine operators and tenders',","'Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.',","'20.1',","'20',","'-0.1',","'-0.6',","'1.2',","'2.3',","'28570',","'No formal educational credential',","'None',",'Moderate-term on-the-job training');
51-3092.00,Engineering,Production occupations,Food processing workers,Production,43,Food batchmakers,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.,153.7,155.8,2.1,1.3,1.3,21.6,27810,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3092.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Food batchmakers',","'Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.',","'153.7',","'155.8',","'2.1',","'1.3',","'1.3',","'21.6',","'27810',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-3093.00,Engineering,Production occupations,Food processing workers,Production,43,Food cooking machine operators and tenders,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.",37.2,38.1,1,2.6,0.4,5.2,28350,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3093.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Food cooking machine operators and tenders',","'Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.',","'37.2',","'38.1',","'1',","'2.6',","'0.4',","'5.2',","'28350',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-3099.00,Engineering,Production occupations,Food processing workers,Production,43,"Food processing workers, all other",All food processing workers not listed separately.,46.4,48.9,2.5,5.4,6.2,5.5,24160,No formal educational credential,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-3099.00',","'Engineering',","'Production occupations',","'Food processing workers',","'Production',","'43',","'Food processing workers, all other',","'All food processing workers not listed separately.',","'46.4',","'48.9',","'2.5',","'5.4',","'6.2',","'5.5',","'24160',","'No formal educational credential',","'None',",'Moderate-term on-the-job training');
51-4011.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Computer-controlled machine tool operators, metal and plastic",Operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic work pieces.,145.7,147.3,1.6,1.1,0,14.5,37880,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4011.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Computer-controlled machine tool operators, metal and plastic',","'Operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic work pieces.',","'145.7',","'147.3',","'1.6',","'1.1',","'0',","'14.5',","'37880',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4012.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Computer numerically controlled machine tool programmers, metal and plastic","Develop programs to control machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems.",25.1,29.2,4.1,16.3,0,3.1,50580,Postsecondary nondegree award,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4012.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Computer numerically controlled machine tool programmers, metal and plastic',","'Develop programs to control machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems.',","'25.1',","'29.2',","'4.1',","'16.3',","'0',","'3.1',","'50580',","'Postsecondary nondegree award',","'None',",'Moderate-term on-the-job training');
51-4021.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.",72.3,61.3,-11,-15.2,0,5.6,33870,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4021.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Extruding and drawing machine setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.',","'72.3',","'61.3',","'-11',","'-15.2',","'0',","'5.6',","'33870',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
